node;user;party
254158081;CaroleACovello;Not partisan
1084193960;x_CousinHub;#JLM2017
286840245;veroniquegenest;Not partisan
810446802;Reporterre;Not partisan
8,3821E+17;CGirard2017;#JLM2017
2459862169;Ahabounette;#JLM2017
449652232;MChantecaille;#Hamon2017
133236438;MaximeThiebaut;#NDA2017
527921966;ay_benali;#Hamon2017
2507651323;RachidTemal;#Hamon2017
8,27908E+17;RaphaelChombart;#Fillon2017
81304024;Samuel_b5698;#Hamon2017
7,31434E+17;Apostiller1;Not partisan
2400140782;yumbo59000;#JLM2017
242492168;Aevalillith;#JLM2017
327935366;YoyoLeNantais44;#Macron2017
2446863960;TheBerckois;Not partisan
8,29076E+17;Marcheur93;Not partisan
301590263;Sunrise756;#JLM2017
8,27077E+17;emclamart;#Macron2017
7,8184E+17;NJENNA1a;#JLM2017
4873669097;MonikNikmo;#JLM2017
6821132;Vogelsong;Not partisan
455750304;SF_CSP;#JLM2017
1367396204;Gros_Romain;#JLM2017
35022597;LePG;#JLM2017
8,28333E+17;LeclercErwan;#Macron2017
1388019373;OhmArsene;#JLM2017
7,94219E+17;enmarcheparis17;#Macron2017
8,04341E+17;JLM_Yves;#JLM2017
8,43934E+17;UPR_Ressources;Not partisan
590854559;Tapanur;Not partisan
3862656555;PS35Montfort;#Hamon2017
580904021;PAdNP;Not partisan
8,29315E+17;SpartacusVVV;#JLM2017
8,30364E+17;PS19encampagne;#Hamon2017
305447437;ClaudeClerc;#JLM2017
113861790;delpeyrat;#Hamon2017
7,83015E+17;EnMarcheHerault;#Macron2017
16787206;sandraregol;#Hamon2017
1565330960;FF_president;Not partisan
93853144;OUPSI;#JLM2017
307027953;Marchais78;Not partisan
130028269;canalguada;#JLM2017
1124786868;2017president;Not partisan
27617787;martialpradaud;#Fillon2017
50832932;psoull;Not partisan
1169993600;viveblender;#JLM2017
2814815146;DrHaijin;#Macron2017
345954814;ps_essonne;#Hamon2017
8,15501E+17;SocDemMarche;Not partisan
2431797375;azi_azip;Not partisan
105096429;augustule;Not partisan
572856059;Twitthier;#JLM2017
504831684;FEspagnac;#Hamon2017
839721476;CuzouG;#Hamon2017
7,0479E+17;AchessT;Not partisan
7,83391E+17;EnMarcheSarthe;#Macron2017
7,7856E+17;JAMFinistere;#Macron2017
8,2941E+17;Insoumis_StCyr;#JLM2017
780327259;martinevalleton;Not partisan
4234324474;LagoshNick;Not partisan
22465335;Topper_Fr;Not partisan
7,85633E+17;bouchranazzal;#Macron2017
478409321;Clyde_Barrow_;Not partisan
8,39918E+17;Harry_Stochat;#JLM2017
494593786;VerlaineDJENI;Not partisan
151043323;msoudais;#JLM2017
114221945;lorenzosalvador;#Hamon2017
16697806;DamienMariller;#Hamon2017
8,46416E+17;Antigone_75013;#JLM2017
3021369148;nathdelvidre;#JLM2017
8,07018E+17;EnMarcheBrest;#Macron2017
326709007;SentinelleCS4;#JLM2017
8,30427E+17;HumanisteEM;Not partisan
300718317;alni92;Not partisan
185994271;J2molay;Not partisan
313122068;ADublanche;#Fillon2017
47706812;Timeo_Danaos;Not partisan
114675553;Coexister75;Not partisan
8,00858E+17;JeunesFF92;#Fillon2017
8,00336E+17;EnMarcheParis9;Not partisan
7,52791E+17;FemmesAvecEM;Not partisan
7,9822E+17;JeunesMacronUK;Not partisan
3382997494;militantedu18e;#Hamon2017
48063579;maxcruzel;Not partisan
630892463;TeamFillon60;#Fillon2017
8,38153E+17;JeunesseHamon69;#Hamon2017
218414391;oclodong;#NDA2017
16219746;ZeuStef;#JLM2017
2340405962;hugoengel4;Not partisan
85863327;JeunesDLF;#NDA2017
66640562;JRepublicains06;#Fillon2017
3311985875;jabouvier;Not partisan
7,87328E+17;EnMarcheGironde;#Macron2017
481599806;victor_jfr;Not partisan
8,16208E+17;pmartin_32;#Hamon2017
8,49627E+17;SondageWorId;#JLM2017
1064244859;SVimaire;#JLM2017
8,4173E+17;BastienRodz;#JLM2017
184004687;ElooW_D;#JLM2017
263036313;NeoResistant;#JLM2017
248794070;MarieMarysienka;Not partisan
8,25722E+17;FrenchPolitic;Not partisan
61164655;dassouline;#Hamon2017
8,32719E+17;JeunesAvecBH22;#Hamon2017
458247615;VincentMigeat;#JLM2017
2596348954;FootUnivers10;#Asselineau2017
565396191;EELV_Paris;#Hamon2017
1855155678;marsal_valentin;#Fillon2017
466446264;kanelle77;Not partisan
8,0535E+17;PhiJG07;#JLM2017
7,21396E+17;Droitdanslemur1;Not partisan
220636500;ProfToujours;#Hamon2017
7,5752E+17;NCagnat;#JLM2017
4898335281;Liloun87;#Fillon2017
216308857;SoMori06;#NDA2017
3337295067;CMARTYLUSO1;Not partisan
7,69302E+17;Le64avecBH2017;#Hamon2017
2212423581;DennisBernaud;#Fillon2017
2236085510;wysifox;#JLM2017
1243784281;LDG_sciences;#Hamon2017
114222231;yvesdamecourt;Not partisan
3130755833;AnnieGenevard;#Fillon2017
619478340;mathieu_mercuri;#JLM2017
447490823;D_Nouy;#Fillon2017
391361511;ClementGregory;#JLM2017
8,1121E+17;ecologienmarche;#Macron2017
3348869505;fszpiner;Not partisan
7,10457E+17;Fillon2017_68;#Fillon2017
559772995;lucasgautheron;#JLM2017
7,07909E+17;EnDebout;#JLM2017
17782731;citoyenne_terre;#JLM2017
4193481136;olympegaston;Not partisan
8,36558E+17;JeunesMacron93;#Macron2017
1425787915;Francoiszero2;Not partisan
7,97141E+17;Blue_D3vice;#JLM2017
395779541;MJSIsere;#Hamon2017
3040562002;YannisPSD;Not partisan
275948503;libertaire10;#JLM2017
1128477223;LaureBotella;#Hamon2017
458382276;Jerome_Flament;#JLM2017
927290354;russeurope;Not partisan
7,94901E+17;leochvl;#JLM2017
8,43915E+17;lbcswagathou;#JLM2017
7,71727E+17;bastooky;#JLM2017
130481825;Cyrille50610;Not partisan
817779691;AlexisBachelay;#Hamon2017
4244125168;Ahmed_UPR;#Asselineau2017
1373246173;fleurfloriane;#JLM2017
110198210;Alexandre_GLS;#Hamon2017
4363876816;misstoctoc;#JLM2017
7,9376E+17;ffversailles;#Fillon2017
7,95933E+17;juliendriagorg;#JLM2017
1241669749;JstLangevin;Not partisan
529361522;Clem_Liogier;#Hamon2017
555348031;autrement_votre;Not partisan
1229928415;psparis8;#Hamon2017
124490776;dram73;#JLM2017
592823197;MONBONHEUR1;Not partisan
960179694;Elisa_Lewis;#Hamon2017
7,35907E+17;PandaNastyx;#JLM2017
231187535;MatthieuLepine;#JLM2017
8,22021E+17;StMaloInsoumise;#JLM2017
853629632;Dranem128;#Fillon2017
7,32963E+17;ul_asteri;#JLM2017
386101650;David_Epinal;#JLM2017
8,27818E+17;CIENDAVGOS;#JLM2017
304460874;FloChabi;#JLM2017
244086871;marietouss1;#Hamon2017
7,68943E+17;louison_bzh;#Hamon2017
154243977;toutal91;#JLM2017
1961168648;Degaulle8;Not partisan
761955830;DjMawpak;#JLM2017
1935486475;FabriceGarcia3;#Asselineau2017
4907396845;JLM2017Avignon;#JLM2017
7,89928E+17;JeunesMacron89;#Macron2017
526797456;MPERDEREAU;#Macron2017
7,32552E+17;FederationPS76;#Hamon2017
303173736;beaEnMarche;Not partisan
3346062165;Ayoungspirit;#JLM2017
2774851390;BirgitLlinares;Not partisan
4471821683;Mercier_81;Not partisan
2527345118;Axeleil;#JLM2017
121704763;Panouille;#JLM2017
387659445;maria_andy2;Not partisan
7,09433E+17;AtlasShepard;#JLM2017
180831406;stonair33;#JLM2017
1522962018;polytyx;#JLM2017
8,31144E+17;BrunoAbrial93;#Cheminade2017
2870767440;flightflix;#JLM2017
7,03988E+17;Anaphi06;#JLM2017
86723013;risseraka;Not partisan
110282994;Bucciu;#JLM2017
156011915;o_pajaud;#Cheminade2017
361055852;majortom38;#JLM2017
4884195839;Clement_Satger;#Cheminade2017
7,42032E+17;VANNES_56000;#Fillon2017
2437254691;HamilcarB;Not partisan
90683032;Forum_Ecolo;#JLM2017
413839619;nadine__morano;Not partisan
7,8945E+17;EnMarche_TlseN;#Macron2017
560205672;NordResistance;#Cheminade2017
199057447;SCharnoz;#Hamon2017
467443952;Philippe_FQSP;#Fillon2017
1710060366;ClementCln;#Fillon2017
436043540;stefappriou;Not partisan
8,06844E+17;isorah_salomet;#Marine2017
1183774956;MPigamo;#Hamon2017
847239547;VincentCrousier;#Cheminade2017
8,10834E+17;JeunesMacron86;#Macron2017
2711336076;letemps;Not partisan
2829725774;SebDroch;Not partisan
2443546486;FROSTOCK;#JLM2017
866234138;TouFouX_News;#JLM2017
8,29334E+17;Lyon7avecHamon;#Hamon2017
483712868;UWontTakeMe;Not partisan
1861077097;AnEyeForAnEyess;#JLM2017
579091759;Rev_de_Presse;#JLM2017
3695796135;VirgiVigne;#JLM2017
557820662;MetairieJacques;Not partisan
307321341;Melody_Hain;#JLM2017
3802307357;GoninJackye;#Fillon2017
93269838;ArnaudMouillard;#Hamon2017
489335610;Zara2017Zara;Not partisan
344169096;SidonieGrand;#Fillon2017
8,4648E+17;hippocratinsoum;#JLM2017
494040501;angevin201247;Not partisan
8,18122E+17;Emmanuel4France;#Macron2017
2801983300;jugeantireac;Not partisan
7,99331E+17;f_minuit;#Fillon2017
8,30382E+17;jeuneshamon82;#Hamon2017
10330232;Le_M_Poireau;Not partisan
956229158;ValouRouffiac;#Fillon2017
304073374;mmia2;#JLM2017
2801800599;MalpartLea;#Hamon2017
7,17407E+17;LuranData;#JLM2017
802722552;Adeline_Chant;#Asselineau2017
7,70882E+17;Nevic94;#JLM2017
507229232;_libre_;#JLM2017
295249309;jfporchez;#Macron2017
718487389;SissiPatriote;#Asselineau2017
575170861;SPVereycken;#Cheminade2017
90635543;christineboutin;Not partisan
8,29284E+17;DonaldD8ck;Not partisan
618927738;julievalles;#JLM2017
1947328194;ElliottAubin;#JLM2017
2173992019;PierreCortese;#JLM2017
4792207095;Sambouvier2;#Macron2017
35843189;Eternel;Not partisan
1946272015;janis_del;#JLM2017
130495269;VincentTISON;#Hamon2017
436575496;MJS_14;#Hamon2017
362696910;marcsoulhol;#JLM2017
8,42834E+17;NancyAvecHamon;#Hamon2017
2361250834;aliciapleure;#Hamon2017
442958171;DemoryFlorian;#JLM2017
85829421;chombeau;#JLM2017
469658161;LesMotsRouges;#JLM2017
474314816;marst76;Not partisan
7,98211E+17;Walt_Corona;Not partisan
7,8251E+17;CTinsoumis;#JLM2017
307972072;CelineMeneses;#JLM2017
3304655499;Mike_mru;#JLM2017
554684558;Eloise_319;Not partisan
616985320;FrancaisdItalie;Not partisan
2659793089;PopulusRe;#JLM2017
2445755058;ZabouF;Not partisan
3364287202;Nicksilien;#JLM2017
205593419;GuillaumRouger;#Macron2017
162910835;gbsciudadana;#JLM2017
299224851;UnSisyphe;Not partisan
8,5131E+17;CiteDesSacres;Not partisan
4887279483;SadxSulfering;#JLM2017
571067986;AvelCsk;#Hamon2017
778026984;76actu;Not partisan
8,06175E+17;AVEC_2017;#JLM2017
848200112;Politiquemedia;Not partisan
102948151;GillesBoyer;Not partisan
4902243202;onlache_rien;#JLM2017
3128980398;MikePlz;Not partisan
786726210;sabine_gobin;#JLM2017
8,21436E+17;FInsoumiseParis;#JLM2017
2874068475;la_chouet;#JLM2017
130638904;pauldraszen;#JLM2017
973573104;gisbril;Not partisan
7,01172E+17;2017_espoir;#JLM2017
357068118;Nourredine_69;#Asselineau2017
461267801;earthconnexion;#JLM2017
253251523;rozoycharles;#Macron2017
8,29835E+17;LefortStan;Not partisan
7,71473E+17;le34avecHamon;#Hamon2017
1386347918;mrericmas;Not partisan
7,92983E+17;BergmannDomini2;#JLM2017
197385619;fleuteu;#JLM2017
2610326298;CessDeb;#JLM2017
52348806;angeetlick;#JLM2017
8,43851E+17;enmarcheletour;Not partisan
410735213;smtl1;#Fillon2017
352365251;PottierMarc;#JLM2017
8,00372E+17;LeBonSensYT;#JLM2017
471031900;YvesCambus;#JLM2017
592582568;haca76;#JLM2017
2704131275;Florian_Ptot;#Fillon2017
496392094;gregou44;#JLM2017
65325242;tiboleclerc;Not partisan
7,92726E+17;CBorg17Barrow;#JLM2017
1715393912;PDedet;#Hamon2017
7,52566E+17;29217Gaby;#Fillon2017
369435455;claudeposternak;Not partisan
7,64519E+17;angry_dog17;Not partisan
1015665595;yolabelge;#JLM2017
7,48058E+17;jonh_tuttle;#JLM2017
478657425;CitoyennEloOoo;#JLM2017
2561154672;g_ongenae;Not partisan
2849734569;NormandieActu;Not partisan
81425927;MisterGdeC;Not partisan
3225085493;Cerbxre;#JLM2017
62517318;franckboissier;#JLM2017
3611223195;Mounette449;Not partisan
2359832670;almokeur;Not partisan
8,09074E+17;tremasuri;#JLM2017
107238011;capucineedou;#Hamon2017
252136117;rivagh;#JLM2017
2324181763;aurelgamer;#JLM2017
